New Experiment - Num episodes: 150
iteration, action, basal, carb, reward
0, 5, 1.3, 25, 26.5
1, 0, 1.0, 20, 86.5
2, 6, 0.7, 25, -89.5
3, 3, 0.39999999999999997, 25, -183.1999969482422
4, 3, 0.09999999999999998, 25, -377.3999938964844
5, 2, 0.39999999999999997, 20, -171.0
6, 7, 0.39999999999999997, 25, -183.1999969482422
7, 7, 0.39999999999999997, 30, -185.1999969482422
8, 8, 0.7, 35, -89.5
9, 0, 0.39999999999999997, 30, -185.1999969482422
10, 1, 0.39999999999999997, 25, -183.1999969482422
11, 6, 0.09999999999999998, 30, -386.3999938964844
12, 6, 0.3, 35, -260.1000061035156
13, 4, 0.3, 35, -260.1000061035156
14, 1, 0.3, 30, -247.10000610351562
15, 5, 0.6, 30, -98.19999694824219
16, 8, 0.8999999999999999, 35, 39.20000076293945
17, 7, 0.8999999999999999, 40, 24.899999618530273
18, 1, 0.8999999999999999, 35, 39.20000076293945
19, 5, 1.2, 35, 64.5
20, 2, 1.5, 30, -21.5
21, 7, 1.5, 35, 0.5
22, 0, 1.2, 30, 44.20000076293945
23, 3, 0.8999999999999999, 30, 69.0999984741211
24, 0, 0.5999999999999999, 25, -96.0
25, 3, 0.2999999999999999, 25, -225.10000610351562
26, 4, 0.2999999999999999, 25, -225.10000610351562
27, 2, 0.5999999999999999, 20, -96.0
28, 3, 0.2999999999999999, 20, -198.10000610351562
29, 3, 0.3, 20, -198.10000610351562
30, 6, 0.3, 25, -225.10000610351562
31, 1, 0.3, 20, -198.10000610351562
32, 4, 0.3, 20, -198.10000610351562
33, 8, 0.6, 25, -96.0
34, 0, 0.3, 20, -198.10000610351562
35, 8, 0.6, 25, -96.0
36, 8, 0.8999999999999999, 30, 69.0999984741211
37, 1, 0.8999999999999999, 25, 89.9000015258789
38, 5, 1.2, 25, 60.5
39, 3, 0.8999999999999999, 25, 89.9000015258789
40, 7, 0.8999999999999999, 30, 69.0999984741211
41, 0, 0.5999999999999999, 25, -96.0
42, 2, 0.8999999999999999, 20, 144.5
43, 8, 1.2, 25, 60.5
44, 2, 1.5, 20, 14.5
45, 8, 1.8, 25, -65.5
46, 4, 1.8, 25, -65.5
47, 2, 2.1, 20, -173.5
48, 3, 1.8, 20, -55.5
49, 8, 2.1, 25, -179.5
50, 8, 2.4, 30, -302.0
51, 4, 2.4, 30, -302.0
52, 6, 2.1, 35, -131.5
